ID,countries,Announcement Date,Type of Aid General,Type of Aid Specific,Explanation,Monetary Value as Given by Source,Original Currency,Item,Type of item,Soviet origin (1),No. of Units,No. of Units delivered (in-kind military aid),Unit Price in USD,"Value committed (own estimate, in USD)","Value delivered (own estimate, in USD)",Total ,Converted Value in EUR,Total monetary value delivered in EUR,Official Source,Source of Aid 1,Source of Aid 2,Source of Aid 3,Source of Aid 4,Bilateral loan/grant made through IMF or WB?,Updated/newly added entry,Source for Delivery,,,,,,,,,,,,,,,
BGH1 ,Bulgaria,27/2/2022,Humanitarian,Assistance,Equipment and logistic assistance. The assistance falls within the framework of the EU Civil Protection Mechanism (EUCPM). No further information regarding the shipment has been disclosed. ,Not given ,.,.,.,.,.,.,.,.,.,.,.,.,No ,https://sofiaglobe.com/2022/02/27/bulgaria-to-provide-humanitarian-military-logistical-aid-to-ukraine/?msclkid=2fb3d8c7b05511ec86aca56bb6424b21,https://www.slobodenpecat.mk/en/bugarija-kje-isprati-humanitarna-i-voeno-logistichka-pomosh-na-ukraina/,.,.,0,0,.,,,,,,,,,,,,,,,
BGH2,Bulgaria,28/4/2022,Humanitarian,Assistance,"The Bulgarian government announced to provide Ukraine humanitarian assistance worth 706,000 EUR.","706,000",EUR,.,.,.,.,.,.,.,.,"706,000","706,000",.,Yes,https://www.kmu.gov.ua/en/news/denis-shmigal-ukrayina-vdyachna-bolgariyi-shcho-spilno-z-mizhnarodnoyu-spilnotoyu-bere-uchast-u-pidtrimci-nashoyi-krayini,https://www.ukrinform.net/rubric-ato/3470180-bulgaria-to-give-ukraine-humanitarian-aid-worth-over-eur-700000-shmyhal.html,https://interfax.com/newsroom/top-stories/78780/,.,0,0,.,,,,,,,,,,,,,,,
BGH3,Bulgaria,4/5/2022,Humanitarian,Equipment,"Humanitarian aid in the form of medicines, clothing, and food. ""Source of Aid 1"" mentions that Bulgaria approved the repairment of Ukranian military equipment in Bulgarian firms. The latter is reported in BGCM1.",Not given,.,.,.,.,.,.,.,.,.,.,.,.,No,https://www.dw.com/bg/%D0%BF%D0%B0%D1%80%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D1%82%D1%8A%D1%82-%D1%80%D0%B5%D1%88%D0%B8-%D0%B1%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D0%B8%D1%8F-%D1%89%D0%B5-%D0%BE%D0%BA%D0%B0%D0%B6%D0%B5-%D0%B2%D0%BE%D0%B5%D0%BD%D0%BD%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0-%D0%BF%D0%BE%D0%BC%D0%BE%D1%89-%D0%BD%D0%B0-%D1%83%D0%BA%D1%80%D0%B0%D0%B9%D0%BD%D0%B0/a-61683857,https://bntnews.bg/news/kakva-tochno-pomosht-shte-predostavi-balgariya-na-ukraina-1193662news.html,.,.,0,0,.,,,,,,,,,,,,,,,
BGM1,Bulgaria,7/4/2022,Military,Military Equipment,"Bulgaria announced to send 2,000 helmets and 2,000 bulletproof vests to Ukraine.",Not given ,USD,helmet,1.0,0,2000,2000,1400,"2,800,000","2,800,000","3,800,000","3,598,485","3,598,485",No,https://www.euractiv.com/section/politics/short_news/bulgaria-sends-helmets-to-ukrain%D0%B5/,https://bnr.bg/en/post/101627966,.,.,0,0,https://www.bta.bg/en/news/bulgaria/264039-ukrainian-experts-explore-opportunities-for-military-equipment-repairs-in-bulgar,,,,,,,,,,,,,,,
,,,,,,,,ballistic vest,1.0,0,2000,2000,500,"1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
CAF1,Canada,14/2/2022,Financial,Loan,"In addition to the 120 million USD loan announced on January 21 (not reported in our dataset) Canada announced a 500 million CAD loan. This loan was announced on February 14, but was signed on April 14, as mentioned by ""Source of Aid 2"".","500,000,000",CAD,.,.,.,.,.,.,.,.,"500,000,000","369,412,634",.,Yes,https://www.canada.ca/en/department-finance/news/2022/02/canada-pledges-additional-support-for-ukraine.html,https://twitter.com/ua_minfin/status/1514313544795361280?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1514313544795361280%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.republicworld.com%2Fworld-news%2Frussia-ukraine-crisis%2Fcanada-to-provide-ukraine-with-398-dollars-million-concessional-loan-amid-russian-invasion-articleshow.html,.,.,0,0,.,,,,,,,,,,,,,,,
CAF2,Canada,7/4/2022,Financial,Loan,"Canada will offer 1 billion CAD of new loan resources through the newly established account of the International Monetary Found. In this specific case, the IMF works as a mediator: donors can provide loans or grants in either reserve currencies or special drawing rights. Refer to CAM8 for the 500 million CAD mentioned in ""Source of Aid 1"". ""Source of Aid 3"" lists the previously granted loans of 620 million CAD, discussed in CAF1. ""Source of Aid 4"" clarifies that this aid was disbursed on June 17 and it specifies the conditions: the loan maturity is 10 years and the interest rate p.a. is 1.69%.","1,000,000,000",CAD,.,.,.,.,.,.,.,.,"1,000,000,000","738,825,268",.,No ,https://www.reuters.com/article/canada-budget-ukraine-aid-idCAKCN2LZ2CL,https://www.bnnbloomberg.ca/imf-creates-new-account-to-help-ukraine-as-canada-pledges-funds-1.1749951,"https://www.theglobeandmail.com/canada/article-federal-budget-2022-ukraine-russia-1-billion-loan/#:~:text=The%20federal%20government%20is%20proposing%20to%20assist%20Ukraine%E2%80%99s,loan%20through%20a%20new%20Canada-led%20international%20financial%20program.",https://www.kmu.gov.ua/en/news/minfin-ukrayina-otrimala-1-mlrd-kanadskih-dolariv-vid-kanadi,1,1,.,,,,,,,,,,,,,,,
CAF3,Canada,20/5/2022,Financial,Loan,"Canada announced to provide an additional loan of 250 million CAD to support Ukraine. The Minister of Finance that it will be provided through the IMF's Administered Account. Notice that ""Source of Aid 1"" mentions a total amount of financial aid amounting to 1.87 billion CAD, of which CAF1 to CAF3 covers 1.75 billion CAD (500 million CAD + 1 billion CAD + 250 million CAD). The remaining 120 million CAD (1.87 billion CAD - 1.75 billion CAD) is reflected by a loan announced on Jan 21, so prior to the starting date for our dataset, Jan 24.","250,000,000",CAD,.,.,.,.,.,.,.,.,"250,000,000","184,706,317",.,Yes ,https://www.canada.ca/en/department-finance/news/2022/05/canada-provides-additional-financial-support-to-ukraine.html,https://english.news.cn/northamerica/20220521/316cc7dea3444c36b011aa19617629ac/c.html,https://www.republicworld.com/world-news/russia-ukraine-crisis/canada-announces-additional-loan-of-250mn-for-ukraine-as-russian-invasion-enters-day-87-articleshow.html,.,1,0,.,,,,,,,,,,,,,,,
CAF4,Canada,28/6/2022,Financial,Loan,"Prime Minister Trudeau announced the provision of a 200 million CAD loan through the IMF to Ukraine. Furthermore, ""Source of Aid 1"" mentions additional humanitarian assistance that is reported in CAH5, CAH6, CAH7. Moreover, ""Source of Aid 1"" re-iterates the pledge of Canada at the Stand Up for Ukraine Event that is covered in CAH3.","200,000,000",CAD,.,.,.,.,.,.,.,.,"200,000,000","147,765,054",.,Yes ,"https://pm.gc.ca/en/news/backgrounders/2022/06/28/additional-canadian-support-ukraine-announced-2022-g7-summit#:~:text=Canada%20will%20provide%20%24200%20million,administrative%20burden%20on%20Ukrainian%20officials.",https://www.ctvnews.ca/politics/canada-pledges-more-aid-and-loans-to-ukraine-as-g7-targets-russian-oil-1.5965947,.,.,1,1,.,,,,,,,,,,,,,,,
CAH1,Canada,26/1/2022,Humanitarian,Assistance,"The intention of the donation was to fund development and humanitarian assistance. The 340 million CAD mentioned in ""Source of Aid 1"" are reported in CAM1.","50,000,000",CAD,.,.,.,.,.,.,.,.,"50,000,000","36,941,263",.,Yes,https://www.canada.ca/en/department-national-defence/news/2022/01/canada-extends-and-expands-military-and-other-support-for-the-security-of-ukraine.html,.,.,.,0,0,.,,,,,,,,,,,,,,,
