,Country,Latitude,Longitude,Date,Refugees from Ukraine,datetime
159,Ukraine,49.4871968,31.2718321,2022-03-20,0,2022-03-20
160,Poland,52.215933,19.134422,2022-03-21,2113554,2022-03-21
161,Hungary,47.1817585,19.5060937,2022-03-21,317863,2022-03-21
162,Republic of Moldova,47.2879608,28.5670941,2022-03-21,367913,2022-03-21
163,Slovakia,48.7411522,19.4528646,2022-03-21,253592,2022-03-21
164,Romania,45.9852129,24.6859225,2022-03-21,543308,2022-03-21
165,Russian Federation,64.6863136,97.7453061,2022-03-21,252376,2022-03-21
166,Belarus,53.4250605,27.6971358,2022-03-21,4308,2022-03-21
167,Ukraine,49.4871968,31.2718321,2022-03-21,0,2022-03-21
168,Poland,52.215933,19.134422,2022-03-22,2144244,2022-03-22
169,Hungary,47.1817585,19.5060937,2022-03-22,324397,2022-03-22
170,Republic of Moldova,47.2879608,28.5670941,2022-03-22,371104,2022-03-22
171,Slovakia,48.7411522,19.4528646,2022-03-22,256838,2022-03-22
172,Romania,45.9852129,24.6859225,2022-03-22,555021,2022-03-22
173,Russian Federation,64.6863136,97.7453061,2022-03-22,271254,2022-03-22
174,Belarus,53.4250605,27.6971358,2022-03-22,4938,2022-03-22
175,Ukraine,49.4871968,31.2718321,2022-03-22,0,2022-03-22
176,Poland,52.215933,19.134422,2022-03-23,2173944,2022-03-23
177,Hungary,47.1817585,19.5060937,2022-03-23,330877,2022-03-23
178,Republic of Moldova,47.2879608,28.5670941,2022-03-23,374059,2022-03-23
179,Slovakia,48.7411522,19.4528646,2022-03-23,260244,2022-03-23
180,Romania,45.9852129,24.6859225,2022-03-23,563519,2022-03-23
181,Russian Federation,64.6863136,97.7453061,2022-03-23,350632,2022-03-23
182,Belarus,53.4250605,27.6971358,2022-03-23,5569,2022-03-23
183,Ukraine,49.4871968,31.2718321,2022-03-23,0,2022-03-23
184,Poland,52.215933,19.134422,2022-03-24,2206119,2022-03-24
185,Hungary,47.1817585,19.5060937,2022-03-24,336701,2022-03-24
186,Republic of Moldova,47.2879608,28.5670941,2022-03-24,376748,2022-03-24
187,Slovakia,48.7411522,19.4528646,2022-03-24,263959,2022-03-24
188,Romania,45.9852129,24.6859225,2022-03-24,572754,2022-03-24
189,Russian Federation,64.6863136,97.7453061,2022-03-24,350632,2022-03-24
190,Belarus,53.4250605,27.6971358,2022-03-24,6341,2022-03-24
191,Ukraine,49.4871968,31.2718321,2022-03-24,0,2022-03-24
192,Poland,52.215933,19.134422,2022-03-25,2236314,2022-03-25
193,Hungary,47.1817585,19.5060937,2022-03-25,342738,2022-03-25
194,Republic of Moldova,47.2879608,28.5670941,2022-03-25,379204,2022-03-25
195,Slovakia,48.7411522,19.4528646,2022-03-25,267702,2022-03-25
196,Romania,45.9852129,24.6859225,2022-03-25,579800,2022-03-25
197,Russian Federation,64.6863136,97.7453061,2022-03-25,350632,2022-03-25
198,Belarus,53.4250605,27.6971358,2022-03-25,9075,2022-03-25
199,Ukraine,49.4871968,31.2718321,2022-03-25,0,2022-03-25
200,Poland,52.215933,19.134422,2022-03-26,2267103,2022-03-26
201,Hungary,47.1817585,19.5060937,2022-03-26,349107,2022-03-26
202,Republic of Moldova,47.2879608,28.5670941,2022-03-26,381395,2022-03-26
203,Slovakia,48.7411522,19.4528646,2022-03-26,272012,2022-03-26
204,Romania,45.9852129,24.6859225,2022-03-26,586942,2022-03-26
205,Russian Federation,64.6863136,97.7453061,2022-03-26,350632,2022-03-26
206,Belarus,53.4250605,27.6971358,2022-03-26,9075,2022-03-26
207,Ukraine,49.4871968,31.2718321,2022-03-26,0,2022-03-26
208,Poland,52.215933,19.134422,2022-03-27,2293833,2022-03-27
209,Hungary,47.1817585,19.5060937,2022-03-27,354041,2022-03-27
210,Republic of Moldova,47.2879608,28.5670941,2022-03-27,383627,2022-03-27
211,Slovakia,48.7411522,19.4528646,2022-03-27,275439,2022-03-27
212,Romania,45.9852129,24.6859225,2022-03-27,595868,2022-03-27
213,Russian Federation,64.6863136,97.7453061,2022-03-27,350632,2022-03-27
214,Belarus,53.4250605,27.6971358,2022-03-27,9075,2022-03-27
215,Ukraine,49.4871968,31.2718321,2022-03-27,0,2022-03-27
216,Poland,52.215933,19.134422,2022-03-29,2336799,2022-03-29
217,Hungary,47.1817585,19.5060937,2022-03-29,364804,2022-03-29
218,Republic of Moldova,47.2879608,28.5670941,2022-03-29,387151,2022-03-29
219,Slovakia,48.7411522,19.4528646,2022-03-29,281172,2022-03-29
220,Romania,45.9852129,24.6859225,2022-03-29,608936,2022-03-29
221,Russian Federation,64.6863136,97.7453061,2022-03-29,350632,2022-03-29
222,Belarus,53.4250605,27.6971358,2022-03-29,10902,2022-03-29
223,Ukraine,49.4871968,31.2718321,2022-03-29,0,2022-03-29
224,Poland,52.215933,19.134422,2022-03-30,2362044,2022-03-30
225,Hungary,47.1817585,19.5060937,2022-03-30,368807,2022-03-30
226,Republic of Moldova,47.2879608,28.5670941,2022-03-30,388837,2022-03-30
227,Slovakia,48.7411522,19.4528646,2022-03-30,283824,2022-03-30
228,Romania,45.9852129,24.6859225,2022-03-30,616592,2022-03-30
229,Russian Federation,64.6863136,97.7453061,2022-03-30,373589,2022-03-30
230,Belarus,53.4250605,27.6971358,2022-03-30,11821,2022-03-30
231,Ukraine,49.4871968,31.2718321,2022-03-30,0,2022-03-30
232,Poland,52.215933,19.134422,2022-03-31,2384814,2022-03-31
233,Hungary,47.1817585,19.5060937,2022-03-31,374535,2022-03-31
234,Republic of Moldova,47.2879608,28.5670941,2022-03-31,390187,2022-03-31
235,Slovakia,48.7411522,19.4528646,2022-03-31,292039,2022-03-31
236,Romania,45.9852129,24.6859225,2022-03-31,623627,2022-03-31
237,Russian Federation,64.6863136,97.7453061,2022-03-31,373589,2022-03-31
238,Belarus,53.4250605,27.6971358,2022-03-31,12746,2022-03-31
239,Ukraine,49.4871968,31.2718321,2022-03-31,0,2022-03-31
240,Poland,52.215933,19.134422,2022-04-01,2405703,2022-04-01
241,Hungary,47.1817585,19.5060937,2022-04-01,379988,2022-04-01
242,Republic of Moldova,47.2879608,28.5670941,2022-04-01,391592,2022-04-01
243,Slovakia,48.7411522,19.4528646,2022-04-01,294885,2022-04-01
244,Romania,45.9852129,24.6859225,2022-04-01,629917,2022-04-01
245,Russian Federation,64.6863136,97.7453061,2022-04-01,373589,2022-04-01
246,Belarus,53.4250605,27.6971358,2022-04-01,15281,2022-04-01
247,Ukraine,49.4871968,31.2718321,2022-04-01,0,2022-04-01
248,Poland,52.215933,19.134422,2022-04-02,2429265,2022-04-02
249,Hungary,47.1817585,19.5060937,2022-04-02,385783,2022-04-02
250,Republic of Moldova,47.2879608,28.5670941,2022-04-02,392933,2022-04-02
251,Slovakia,48.7411522,19.4528646,2022-04-02,298183,2022-04-02
252,Romania,45.9852129,24.6859225,2022-04-02,635816,2022-04-02
253,Russian Federation,64.6863136,97.7453061,2022-04-02,373589,2022-04-02
254,Belarus,53.4250605,27.6971358,2022-04-02,15281,2022-04-02
255,Ukraine,49.4871968,31.2718321,2022-04-02,0,2022-04-02
256,Poland,52.215933,19.134422,2022-04-03,2451342,2022-04-03
257,Hungary,47.1817585,19.5060937,2022-04-03,390302,2022-04-03
258,Republic of Moldova,47.2879608,28.5670941,2022-04-03,394740,2022-04-03
259,Slovakia,48.7411522,19.4528646,2022-04-03,301405,2022-04-03
260,Romania,45.9852129,24.6859225,2022-04-03,643058,2022-04-03
261,Russian Federation,64.6863136,97.7453061,2022-04-03,373589,2022-04-03
262,Belarus,53.4250605,27.6971358,2022-04-03,15281,2022-04-03
263,Ukraine,49.4871968,31.2718321,2022-04-03,0,2022-04-03
264,Poland,52.215933,19.134422,2022-04-04,2469657,2022-04-04
265,Hungary,47.1817585,19.5060937,2022-04-04,394728,2022-04-04
266,Republic of Moldova,47.2879608,28.5670941,2022-04-04,396448,2022-04-04
267,Slovakia,48.7411522,19.4528646,2022-04-04,302417,2022-04-04
268,Romania,45.9852129,24.6859225,2022-04-04,648410,2022-04-04
269,Russian Federation,64.6863136,97.7453061,2022-04-04,373589,2022-04-04
270,Belarus,53.4250605,27.6971358,2022-04-04,16274,2022-04-04
271,Ukraine,49.4871968,31.2718321,2022-04-04,0,2022-04-04
272,Poland,52.215933,19.134422,2022-04-05,2490447,2022-04-05
273,Hungary,47.1817585,19.5060937,2022-04-05,398932,2022-04-05
274,Republic of Moldova,47.2879608,28.5670941,2022-04-05,399039,2022-04-05
275,Slovakia,48.7411522,19.4528646,2022-04-05,302417,2022-04-05
276,Romania,45.9852129,24.6859225,2022-04-05,654825,2022-04-05
277,Russian Federation,64.6863136,97.7453061,2022-04-05,373589,2022-04-05
278,Belarus,53.4250605,27.6971358,2022-04-05,17317,2022-04-05
279,Ukraine,49.4871968,31.2718321,2022-04-05,0,2022-04-05
280,Poland,52.215933,19.134422,2022-04-06,2514504,2022-04-06
281,Hungary,47.1817585,19.5060937,2022-04-06,404021,2022-04-06
282,Republic of Moldova,47.2879608,28.5670941,2022-04-06,401704,2022-04-06
283,Slovakia,48.7411522,19.4528646,2022-04-06,304983,2022-04-06
284,Romania,45.9852129,24.6859225,2022-04-06,662751,2022-04-06
285,Russian Federation,64.6863136,97.7453061,2022-04-06,373589,2022-04-06
286,Belarus,53.4250605,27.6971358,2022-04-06,18060,2022-04-06
287,Ukraine,49.4871968,31.2718321,2022-04-06,0,2022-04-06
288,Poland,52.215933,19.134422,2022-04-07,2537769,2022-04-07
289,Hungary,47.1817585,19.5060937,2022-04-07,408652,2022-04-07
290,Republic of Moldova,47.2879608,28.5670941,2022-04-07,404257,2022-04-07
291,Slovakia,48.7411522,19.4528646,2022-04-07,307772,2022-04-07
292,Romania,45.9852129,24.6859225,2022-04-07,671334,2022-04-07
293,Russian Federation,64.6863136,97.7453061,2022-04-07,373589,2022-04-07
294,Belarus,53.4250605,27.6971358,2022-04-07,19096,2022-04-07
295,Ukraine,49.4871968,31.2718321,2022-04-07,0,2022-04-07
296,Poland,52.215933,19.134422,2022-04-08,2564994,2022-04-08
297,Hungary,47.1817585,19.5060937,2022-04-08,413888,2022-04-08
298,Republic of Moldova,47.2879608,28.5670941,2022-04-08,406611,2022-04-08
299,Slovakia,48.7411522,19.4528646,2022-04-08,310989,2022-04-08
300,Romania,45.9852129,24.6859225,2022-04-08,678081,2022-04-08
301,Russian Federation,64.6863136,97.7453061,2022-04-08,389845,2022-04-08
302,Belarus,53.4250605,27.6971358,2022-04-08,20739,2022-04-08
303,Ukraine,49.4871968,31.2718321,2022-04-08,0,2022-04-08
304,Poland,52.215933,19.134422,2022-04-09,2593902,2022-04-09
305,Hungary,47.1817585,19.5060937,2022-04-09,419101,2022-04-09
306,Republic of Moldova,47.2879608,28.5670941,2022-04-09,410882,2022-04-09
307,Slovakia,48.7411522,19.4528646,2022-04-09,314485,2022-04-09
308,Romania,45.9852129,24.6859225,2022-04-09,686232,2022-04-09
309,Russian Federation,64.6863136,97.7453061,2022-04-09,404418,2022-04-09
310,Belarus,53.4250605,27.6971358,2022-04-09,20739,2022-04-09
311,Ukraine,49.4871968,31.2718321,2022-04-09,0,2022-04-09
312,Poland,52.215933,19.134422,2022-04-10,2622117,2022-04-10
313,Hungary,47.1817585,19.5060937,2022-04-10,424367,2022-04-10
314,Republic of Moldova,47.2879608,28.5670941,2022-04-10,411365,2022-04-10
315,Slovakia,48.7411522,19.4528646,2022-04-10,317781,2022-04-10
316,Romania,45.9852129,24.6859225,2022-04-10,692501,2022-04-10
317,Russian Federation,64.6863136,97.7453061,2022-04-10,433083,2022-04-10
318,Belarus,53.4250605,27.6971358,2022-04-10,20739,2022-04-10
319,Ukraine,49.4871968,31.2718321,2022-04-10,0,2022-04-10
320,Poland,52.215933,19.134422,2022-04-11,2645877,2022-04-11
321,Hungary,47.1817585,19.5060937,2022-04-11,428954,2022-04-11
322,Republic of Moldova,47.2879608,28.5670941,2022-04-11,413374,2022-04-11
323,Slovakia,48.7411522,19.4528646,2022-04-11,320246,2022-04-11
324,Romania,45.9852129,24.6859225,2022-04-11,701741,2022-04-11
325,Russian Federation,64.6863136,97.7453061,2022-04-11,433083,2022-04-11
326,Belarus,53.4250605,27.6971358,2022-04-11,21292,2022-04-11
327,Ukraine,49.4871968,31.2718321,2022-04-11,0,2022-04-11
328,Poland,52.215933,19.134422,2022-04-12,2669637,2022-04-12
329,Hungary,47.1817585,19.5060937,2022-04-12,434342,2022-04-12
330,Republic of Moldova,47.2879608,28.5670941,2022-04-12,415850,2022-04-12
331,Slovakia,48.7411522,19.4528646,2022-04-12,323020,2022-04-12
332,Romania,45.9852129,24.6859225,2022-04-12,709249,2022-04-12
333,Russian Federation,64.6863136,97.7453061,2022-04-12,471014,2022-04-12
334,Belarus,53.4250605,27.6971358,2022-04-12,21852,2022-04-12
335,Ukraine,49.4871968,31.2718321,2022-04-12,0,2022-04-12
336,Poland,52.215933,19.134422,2022-04-13,2694090,2022-04-13
337,Hungary,47.1817585,19.5060937,2022-04-13,440387,2022-04-13
338,Republic of Moldova,47.2879608,28.5670941,2022-04-13,417650,2022-04-13
